City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Vangaindrano,-23.35,47.6,67.82,90,0,5.68,MG,2021-10-18 22:38:05
1,Coracora,-15.0333,-73.7833,54.16,54,48,7.38,PE,2021-10-18 22:38:05
2,East London,-33.0153,27.9116,56.23,74,34,5.75,ZA,2021-10-18 22:38:05
3,Vaini,-21.2,-175.2,80.76,74,40,10.36,TO,2021-10-18 22:46:40
4,Tessalit,20.1986,1.0114,81.9,13,0,9.26,ML,2021-10-18 22:46:41
5,Dongsheng,39.8161,109.9776,31.21,61,94,11.45,CN,2021-10-18 22:46:41
6,Alofi,-19.0595,-169.9187,76.89,83,75,18.41,NU,2021-10-18 22:38:07
7,Mandera,3.9366,41.867,80.55,60,91,18.32,KE,2021-10-18 22:46:41
8,Ushuaia,-54.8,-68.3,46.06,61,40,27.63,AR,2021-10-18 22:46:42
9,Ribeira Grande,38.5167,-28.7,69.35,71,16,19.57,PT,2021-10-18 22:46:42
10,Bethel,41.3712,-73.414,52.65,79,40,5.75,US,2021-10-18 22:46:43
11,Mataura,-46.1927,168.8643,44.96,80,100,6.91,NZ,2021-10-18 22:46:44
12,Puerto Narino,-3.7703,-70.3831,84.15,93,100,1.88,CO,2021-10-18 22:38:09
13,Mahebourg,-20.4081,57.7,74.25,78,75,14.97,MU,2021-10-18 22:38:09
14,Gondanglegi,-7.7479,112.0132,77.97,83,83,3.94,ID,2021-10-18 22:38:09
15,Kahului,20.8947,-156.47,86.02,64,20,20.71,US,2021-10-18 22:34:58
16,Victoria,22.2855,114.1577,76.32,79,88,3.0,HK,2021-10-18 22:33:58
